epoch,train_loss,train_acc,val_loss,val_acc
1,1.239894396995904,0.5659601976266334,1.345992836851217,0.5544883635020317
2,1.0605075099847632,0.6726385618198889,1.4700251750619582,0.5623691663588227
3,1.0093895868958855,0.7044065813978545,2.059162903853699,0.36313261913557443
4,0.9310673478403024,0.7492265780117283,1.3795980534784285,0.5424208841275705
5,0.8815471755091534,0.7779163011189608,1.4654775899760961,0.5431597093953946
6,0.8482838829132737,0.7986794108140556,1.1088639501426742,0.6678980421130402
7,0.8184046196646928,0.8146865524618676,1.2985415964815918,0.5820711735008004
8,0.7097710177023241,0.8768219667236152,0.7925260294439346,0.8317941140253663
9,0.6783043413006199,0.8935525080420496,0.7849901338293552,0.8338874522842014
10,0.6616155366230374,0.9027258315248342,0.7459095592951483,0.8575298608545745
11,0.6460477008231488,0.9117144572193748,0.8641754233577307,0.8018716906784878
12,0.6279716183864361,0.9210416955256961,0.89195748457928,0.788942248491565
13,0.6108939826605005,0.9318003416909083,0.8016756792811833,0.8324098017485531
14,0.5942022033248249,0.9417432392913762,0.743488455102033,0.8577761359438492
15,0.5578534322108927,0.9633836634806299,0.7118314075625569,0.8774781430858268
16,0.5512604192281169,0.9681858059749735,0.7553025775392601,0.8565447604974756
17,0.5471109052265197,0.9696018223515107,0.7035984984980826,0.8820342322374091
18,0.543866520086983,0.9725108125163535,0.7089664917643355,0.8798177564339367
19,0.5405962108396962,0.9743577903987933,0.7049367716417805,0.8810491318803102
20,0.5377585690703807,0.9753120623047206,0.7127457320242442,0.8774781430858268
