epoch,train_loss,train_acc,val_loss,val_acc
1,1.4338362342597093,0.4049806836896462,1.3860939083362416,0.43024258096293555
2,1.3286653420408128,0.4866478890581952,1.3328930342700913,0.48232976234453884
3,1.2357568409313326,0.550384017484724,1.2915037821965945,0.5091737470754832
4,1.1415532135544737,0.6159055578642779,1.2875454111678188,0.5221031892624061
5,1.0394740982704158,0.6814117067614782,1.3301688153789837,0.5223494643516808
6,0.9247497373347897,0.7580458974003786,1.3802151064055994,0.512867873414604
7,0.8218257380593114,0.8247217989564576,1.4468443972212153,0.5127447358699667
8,0.6849577341591844,0.9164088593372428,1.4649521232517375,0.5166851372983622
9,0.6603652761334833,0.9313232057379447,1.481699298585141,0.5152074867627139
10,0.6461519515559694,0.9391112958088994,1.4971731668210884,0.509420022164758
11,0.6343499991955455,0.9459758969386342,1.5002056269674462,0.5104051225218569
12,0.6236728323623165,0.9519631835742101,1.512128459351827,0.5091737470754832
13,0.6138991349195279,0.957257853503871,1.5260523590691026,0.5074498214505603
14,0.6046306814732513,0.9617059919040803,1.5289365878584877,0.5058490333702745
15,0.591981033718079,0.9682781548690955,1.5321175618912108,0.5065878586380987
16,0.5908302434488412,0.9685398100691078,1.533541853021862,0.5056027582809999
17,0.5898639704062586,0.9692170352926691,1.534356333707122,0.5058490333702745
18,0.588930107531241,0.9692939927044374,1.5356215306095207,0.5062184460041866
19,0.5880212358211488,0.9698326945868156,1.5364397171021917,0.504987070557813
20,0.5870468867817551,0.9704021794339013,1.5384969480400852,0.5060953084595493
