model_name,test_loss,test_accuracy,CBFB_MYH11_accuracy,normal_accuracy,NPM1_accuracy,PML_RARA_accuracy,RUNX1_RUNX1T1_accuracy
VGG16,0.6138581659253141,0.9253878355084956,0.89540964555491,0.9768586903003448,0.932806324110672,0.9145077720207254,0.8882720333102012
LeNet5,1.5219308324882883,0.5177296232455061,0.4270772806507844,0.7740029542097489,0.4596273291925465,0.4050086355785837,0.4267869535045107
AlexNet,0.987968371951266,0.7096774193548387,0.6165020337013364,0.8892171344165436,0.6888763410502541,0.6200345423143351,0.6655100624566274
ResNet50,0.6987491132619492,0.8831568579167692,0.8518303312027891,0.93205317577548,0.9073969508752118,0.8739205526770294,0.8292852185981957
