epoch,train_loss,train_acc,val_loss,val_acc
1,1.5070289138322268,0.3452001662280094,1.3967151280738879,0.4210072651151336
2,1.4034042888180807,0.41898693263148173,1.3932798169924845,0.424578253909617
3,1.3815853639347022,0.4406735312677964,1.3340946799970996,0.4756803349341214
4,1.3012766649914203,0.5024087669883487,1.2652527301303567,0.5313385051102081
5,1.2722843722325698,0.524803373812932,1.2033171900063515,0.5656938800640314
6,1.2095736506166135,0.5658832402148651,1.242560839024748,0.545006772564955
7,1.1623668695259068,0.5975743023810623,1.1380606628289263,0.6218446004186676
8,1.0657335432472153,0.6609410352311031,1.0675911904996054,0.6591552764437877
9,1.0430064961699281,0.6726847362669499,1.053124232181201,0.6661741164881172
10,1.0264358320642213,0.680965353773222,1.0506271321907696,0.6681443172023149
11,1.0123515805326073,0.6918317403149098,1.0376083019874525,0.6728235438985346
12,0.9998718304592701,0.6999738344799988,1.024853437129771,0.6832902351927101
13,0.9869238501087115,0.7071616567391605,1.0207596923488509,0.6858761236300948
14,0.9713493092793902,0.7169044650690308,1.008661590102799,0.6930181012190616
15,0.9522724612304013,0.7315879392344277,1.0061695620191904,0.6938800640315231
16,0.9495823833813279,0.7322343814932817,1.0060618853366459,0.6925255510405122
17,0.9468496134721842,0.7332040448815625,1.00464989950821,0.694865164388622
18,0.9440416481207536,0.7343584060580874,1.0053012108893806,0.6936337889422485
19,0.943553751533596,0.7348817164581121,1.0052112643317392,0.6933875138529737
20,0.9415041363712118,0.7347893675639902,1.0016025014294148,0.6964659524689077
